metier_original,occurrences,mots_malgache,mots_francais
MPANJONO AN-DRANOMAMY,12,"mam, rano, mpan",
MAMBOLY VARY SY FARY,12,"mam, var, vary, mboly",
MAMBOLY SY MIVAROTRA VANILLE,12,"mam, miv, var, mboly",
MIVAROTRA LAMBA CONFECTION,12,"miv, var, lamba",
COMMERCIAL,12,,
MANAO SARAKATSA,12,man,
COLLECTEUR VANILLE,12,,
MANETSA VARY,12,"man, var, vary",
MIVAROTRA FANAKA,12,"miv, var",
ENSEIGNANT,12,,
CHAUFFEUR TAXI MOTO,12,,chauffeur
MIVAROTRA PARAKY GASY,12,"miv, var",
MPIVAROTRA ENTAMADINIKA,12,"mpi, var",
AIDE MENAGERE,12,,
MIANDRY 0MBY,12,,
MAMBOLY BALAHAZO SY KATSAKA,12,"mam, katsaka, mboly",
MPITONDRA FIVAVAHANA,12,mpi,
MPIVAROTRA CONFITURE,12,"mpi, var",
MAMBOLY TOMATE,12,"mam, mboly",
MPIVAROTRA LAMBA FRIPERIE,12,"mpi, var, lamba",
MPAMBOLY MADINIKA (ovy),12,"mboly, mpam",
MANEFY VOLAMENA,12,man,
Mamboly vary sy katsaka,12,"mam, var, vary, katsaka, mboly",
