metier_original,occurrences,mots_malgache,mots_francais
MIVAROTRA RAVITOTO,5,"miv, var",
DELEGUE PREFECTURE,5,,
MANBOLY VARY MANGAHAZO VOMANGA,5,"man, var, vary",
"MPAMBOLY VARY,MAIS,FARY",5,"var, vary, mboly, mpam",
NANETSA,5,,
MITADY KARETSIKA,5,,
MPADOKO,5,,
MPAMPIANATRA ECOLE PRIVE,5,"mpi, mpam",
MPANASA FIARA,5,mpan,
MIANTOKA VATOSOA,5,,
MIVAROTRA TAVOAHANGY,5,"miv, var",
MIVAROTRA VOATAVO,5,"miv, var",
MAMBOLY ANANANA,5,"mam, mboly",
MABOLY VARY SY MANGAHAZO SY KATSAKA,5,"man, var, vary, katsaka",
MPIASAN'NY SECALINE,5,mpi,
BRODERIE,5,,
MIVAROTRA GLACE SY CLARINETTE,5,"miv, var",
CMPTABLE,5,,
MPANDOKO LAMBA,5,"lamba, mpan",
FIOMPIANA AKOHO,5,"mpi, akoho",
MPAMPOLY,5,mpam,
DEMARCHEUR NY SAPHIRE,5,,
MPAMPIANATRA AO AMINY EPP (FRAM),5,"mpi, mpam",
MPAMPIANATRY NY EPP,5,"mpi, mpam",
MAMPIANATRY NY EPP,5,"mpi, mam",
MPAMBOLY VARY SY TSARAMASO,5,"var, vary, mboly, mpam",
NAMBOLY,5,mboly,
DIRECTEUR GENERALE,5,,directeur
NAMBOLY VANILLE,5,mboly,
DIRECTEUR D'ECOLE PRIMAIRE PUBLIQUE,5,,directeur
ANIMATEUR AGRICOLE,5,,
D0MESTIQUE,5,,
MANAO SOUDURE MANAMBOTRA VARAVARANA,5,"man, var",
MPIVAROTRA ENTANA MAJINIKA,5,"mpi, var, entana",
GARDIEN TRANON OLONA,5,"trano, rano",
MIKARAMA MANIVANA VOLAMENA,5,"man, karama",
"NAMBOLY VARY,KATSAKA,OVY,MANGAHAZO",5,"man, var, vary, katsaka, mboly",
MECANICIEN DRESSAGE TOLERIE,5,,
MIVAROTRA ENTA MANDINIKA,5,"man, miv, var",
MPIHANTOKA CARRIERE NY SAPHIRE,5,mpi,
DOMESTIC,5,,
MANAMBOATRA ARY MIVAROTRA CACA PIGEON,5,"man, miv, var",
MAMBOLY ANAN,5,"mam, mboly",
MPAMBOLY VARY(VARY MADINIKA),5,"var, vary, mboly, mpam",
MANASALAMBAN'OLONA,5,"man, lamba",
MAJAITRA MACHINE INDUSTRIEL,5,,
MAJAITRA MACHINE INDUSTRUEL,5,,
GUIDE LOCALE,5,,
MPIVAROTRA RAPY CAROTY,5,"mpi, var",
MIVAROTRA BROCHETTE TONO AKOHO MAHOGO KIDA ENDASIN,5,"miv, var, akoho",
"MPANAMPY FIANAKAVIANA MIVAROTRA BROCHETTE, TONO AK",5,"miv, var, mpan",
MPAMAKY KAKAZO,5,mpam,
MIVAROTRA KAKAZO MADINIKA,5,"miv, var",
MAMBOLY SY MIKARAKARA ZANAKAZO,5,"mam, mboly",
RESPONSABLE CANTINE,5,,responsable
MPIANTSOANTSO NY FOKONTANY,5,"mpi, tany",
MPANAO ASA FANAOVAN-TRANO,5,"trano, rano, mpan",
VAROTRA MOFO SY CAFE,5,"var, mofo",
INTERPRETE,5,,
GERANT BOUTIQUE,5,,
ASSISTANTE DU GERANT,5,,assistant
VENDEUR EN BOUTIQUE,5,,vendeur
MPIVAROTRA HENAN'OSY,5,"mpi, var",
MITRANDRAKA HARENA ANKIBON NY TANY,5,tany,
MIVAROTRA KIFAFA,5,"miv, var",
MANETY VOLO,5,man,
MANAMBOATRA RADIO SY TELE,5,man,
MPADIDY HAZO,5,,
MPANAMPY ANTRANO (LA BONNE),5,"trano, rano, mpan",
MPIVAROTRA FANAFODY RAOKANDRO MALAGASY,5,"mpi, var",
MPANAMBOATRA MOFO,5,"mofo, mpan",
MPIASA AN TRANO,5,"mpi, trano, rano",
"NAMBOLY VARY,OVY,VOATABIA,LAISOA,TSARAMASO,KATSAKA",5,"var, vary, katsaka, mboly",
"NAMBOLY VARY,OVY,VOATABIA,LAISOA,KATSAKA,MANGAHAZO",5,"man, var, vary, katsaka, mboly",
MPIASA ANTRANO NA MPANAMPY,5,"mpi, trano, rano, mpan",
MPANAO ENREGISTREMENT HIRA AUDIO,5,mpan,
MPAMPIANATRA ECOLE PRIVEE,5,"mpi, mpam",
MIVAROTRA TANTELY,5,"miv, var",
MPAMIANATRA AMN EPP,5,mpam,
MAMBOATRA LAKANA,5,mam,
CHEF ZAP CR ANKIAKABE FONOKO,5,,chef
SARAKAN TSAHA,5,,
MAMBOLLY VARY,5,"mam, var, vary",
MANAMBOATRA CHARBON DIA MIVAROTRA,5,"man, miv, var",
MAMBOLY LAVANILLE,5,"mam, mboly",
CHAUFFEUR CAMION CITERNE,5,,chauffeur
PROFESSEUR SECONDAIRE,5,,
MAMPILALAO BABY,5,"mpi, mam",
"NAMBOLY VARY,",5,"var, vary, mboly",
MAPNAMPY AN-TRANO,5,"trano, rano",
MANAO MOFO ANKONDRO SY MAKASOKA,5,"man, mofo",
JARDNIER AO AMIN NY NATUREAU,5,,
CONDUCTEUR BILLE,5,,
MPANAO GARGOTTE,5,mpan,
MIKARAMA MITONDRA BAJAJ,5,karama,
MAMARITRA CAFE SY MOKARY,5,mam,
MIVAROTRA AKIDA,4,"miv, var",
NANAMPY AMIN'NY FAMBOLENA,4,famb,
FIOMPINA AKOHO SY GANA,4,"mpi, akoho",
MAMPIANATRA @COLLEGE,4,"mpi, mam",
MIARAMILA SOUS OFICIER CADRE AU ARMEE,4,,cadre
PAMBOLY VOAMANGA,4,"man, mboly",
PAMBOLY VOMANGA,4,"man, mboly",
MPIKARAKARA TOKANTRANO IRAY,4,"mpi, trano, rano",
MPITONDRA P0SY,4,mpi,
COMPTABLE AO AMIN'NY MINISTERAN'NY JONO,4,,comptable
COLLECTEUR DES PRODUITS D'EXPORTATION,4,,
CHEF SURETE,4,,chef
LA BOONE,4,,
TOPOGRAPHE TECHNICIEN,4,,technicien
"NAMBOLY VARY,OVY,KATSAKA,",4,"var, vary, katsaka, mboly",
CHAUFFEUR NY TAXI-BROUSSE,4,,chauffeur
NIVAROTRA VORONA,4,var,
MPAMPIANATRA EO AMIN NY EPP,4,"mpi, mpam",
MIVAROTRA LEGUME SY VONKAZO,4,"miv, var",
MIANTOKA KATSAKA SY SOJA,4,katsaka,
FAMB0LEMBARY,4,famb,
MPANAO HIRAKELY OMBY,4,"omby, mpan",
mpampianatra @ epp,4,"mpi, mpam",
MIZARA TICQUET,4,,
MPIASA TRANO KILASY MODY,4,"mpi, trano, rano",
MPANERA TRANO SY TANY,4,"tany, trano, rano, mpan",
DEMARCHEUR NY OMBY,4,omby,
MAMAFA TRANO AO AMINY COMMUNE,4,"mam, trano, rano",
KATEKISTA FLM,4,,
MPITRANDRAKA VOLEMANA,4,"mpi, man",
MAMPIANATRA AMIN'NY SEKOLIM-PINOANA,4,"mpi, mam",
MIKARAKARA FAMBOLENA,4,famb,
NIVAROTRA MANANSY,4,"man, var",
MPIOMPY GISA,4,mpi,
MAMAFA LALANA/HIMO,4,mam,
MPIVAROTRA FITAOVANA AO AN TOKATRANO,4,"mpi, var, trano, rano",
MAMBOLY VARY SY HARICOT VERT,4,"mam, var, vary, mboly",
MPANARAMASO MPAMBOLY HARICOVERT NY LACOFRUIT,4,"mboly, mpan, mpam",
MPIANTOKA JUS,4,mpi,
MPIVAROTRA ZAVA-PISOTRO BARS,4,"mpi, var",
FIOMPIANA AKOHO SY VORONA,4,"mpi, akoho",
MANARATO FILAO,4,man,
MPAMBOLY AKONDRO,4,"mboly, mpam",
MPIANTOKA MOFO DIPAINA,4,"mpi, mofo",
DELEGUE DE DISTRICT,4,,
"MPIOMPY KISOA,AKOHO SY BITRO ARY OMBY",4,"mpi, omby, akoho",
"MPIOMPY OMBY,GISA ,AKOHO SY KISOA ARY BITRO",4,"mpi, omby, akoho",
MANAMPY NY TOKANTRANO NAMBOLY,4,"man, trano, rano, mboly",
"NAMBOLY VARY,KATSAKA,VOMANGA,POMA,OVY",4,"man, var, vary, katsaka, mboly",
MPITONDRA POMA MIAKATRA ANY TANANARIVO,4,mpi,
"NAMBOLY VARY,POMA,KATSAKA,VOMANGA",4,"man, var, vary, katsaka, mboly",
MPANAMBOATRA TAHONA BROCHETTE,4,mpan,
STAGIAIRE BANQUE,4,,
SECRETAIRE FOKONTANY,4,tany,secretaire
MPAMPIANATRA ALIN'NY EPP,4,"mpi, mpam",
MITANTATANA ORINASA MADINIKA,4,,
TRANSPORT VILLE,4,,
MIKAMPA TOERANA HAMBOLENA MANGAHAZO,4,man,
Mamboly vary sy voanjo,4,"mam, var, vary, mboly",
ACCOMPAGNATEUR ECONOMIQUE,4,,
MPANATY RAKENAN ABATTOIRE,4,mpan,
MPIVROTRA TOAKA GASY,4,mpi,
MIASANANNY CECAM,4,,
MPANEFY FIRAVAKA,4,mpan,
MPIOMPY AKOHO SY VORONA,4,"mpi, akoho",
MPAMIANATRA ENY @CEG AMBALANIRANA,4,mpam,
MPIVAROTRA MOFOGASY,4,"mpi, var, mofo",
Mamboly petit vert,4,"mam, mboly",
MIVAROTRA RANO GLACE SY JUS ARY GLACE,4,"miv, var, rano",
MPANAMBOATRA BICYCLETTE,4,mpan,
MPAMBOLY TOMATE,4,"mboly, mpam",
PENITENTIER,4,,
MPIVAROTRA FANAKA ENY AMINY SINOA,4,"mpi, var",
MANAMBOATRA SY MIVAROTRA CLARNETTE,4,"man, miv, var",
ENTREPRISE AGRICOLE,4,,
MPAMBOLY MPANAMPY,4,"mboly, mpan, mpam",
MPANAMPY ANTRANO KILASY MODY,4,"trano, rano, mpan",
MIHAZA PIRINA,4,,
SARAKA ATSAHA MIAVA VARY,4,"var, vary",
ASAAN-TRANO,4,"trano, rano",
SARA KATSAHA,4,,
MANAMBOATRA SY MIVAROTRA JUS SY YAOURT,4,"man, miv, var",
MANAO KIBAROA (DOKERA),4,man,
CUISINIER TRAITEUR,4,,
MPIVAROTRA SAMBOS,4,"mpi, var",
DEMARCHEUR MAÏS,4,,
MPIASA AMINY SEHATRY NY HIRA,4,mpi,
MPAMOFY VOANKAZO,4,mpam,
"MARCHAND AMBULANT CAFE GRAIN,SUCRE",4,,
MANDRARY LARISA,4,man,
PRESTATEUR EXPORT,4,,
DIRECTEUR CHEF D'AGENCE,4,,"directeur, chef"
RECHEVEUR,4,,
RESPONSABLE DE SERVICE SOCIALE,4,,responsable
M ADJOINT AU MAIRE VOHIPENO,4,,
TSAKAFOKA,4,,
MIVAROTRA MATERIEL ELECTRIQUE,4,"miv, var",
"MAMBOLY VARY,OVY,KATSAKA,TSARAMASO",4,"mam, var, vary, katsaka, mboly",
MIKARAMA MAKA HAZO,4,karama,
MPIVAROTRA TONGOLO SY VOATABIA,4,"mpi, var",
MACHINISTE HAZO,4,,
DEMARCHER,4,,
MIVAROTRA JUS,4,"miv, var",
PIBATA ETANA AO AMINY STAR,4,,
MIVAROTRA CHARBON MANDEHANDEHA,4,"man, miv, var",
MIVAROTRA RONON0,4,"miv, var",
MANJONO @ RANOMAMY,4,"mam, man, rano",
MPIVAROTRA HAZO SY CHARBON,4,"mpi, var",
MPMBOLY,4,mboly,
NITAONA HAZO,4,,
MAMPIDITRA HIRA SY MITANTANA JEUX VIDEO,4,"mpi, mam",
NIKAPA HAZO,4,,
RECEVEUR TAXI-BE,4,,
MANAMBOATRA BYCYCLETTE,4,man,
BARMED,4,,
MIVAROTRA MOFO PATICERIE,4,"miv, var, mofo",
MPIKARAMA MANEFY VY,4,"mpi, man, karama",
CHAUFEUR TAXI BROUSSE REGIONAL,4,,
MPAMBOLY VARY SY MIOMPY VORONA,4,"var, vary, mboly, mpam",
MACON (MPANAO TRANO),4,"trano, rano, mpan",
MIVAROTRA KOJAKOJA FANAMBORANA TRANO,4,"miv, var, trano, rano",
MPAMPIANATRA EPS,4,"mpi, mpam",
ADJUDANT CHEF,4,,chef
MIVARO-KENAN'OMBY,4,"miv, var, omby",
SOFERA TAXI BROUSSE,4,,
REPARATION BATERRIE,4,,
BARMANE,4,man,
MANDRARY TSIHY SY SAHAFA,4,man,
MPANAO MOFO KEPAKEPA VITA AM MANGAHAZO,4,"man, mofo, mpan",
ASA TANY,4,tany,
mamboly vary,4,"mam, var, vary, mboly",
MITAONA VARY,4,"var, vary",
MIJINJA SY MIVELY VARY,4,"miv, var, vary",
MIANGADY LAVA-DRANO,4,rano,
MANOTRIKA SY MIVAROTRA AKONDRO,4,"man, miv, var",
MPANAMPY FIANAKAVIANA MIOMPY VORONA,4,mpan,
MITSIMPONA SALOHIMBARY ENY AN-TANIMBARY,4,,
MAMPITA LAKANA,4,"mpi, mam",
MIVAROTRA SATROKA TSIHY,4,"miv, var",
DOCTEUR BIOLOGISTE,4,,
MANAMBOATRA CINTRE SY TAHONA MASKITA,4,man,
MPANAMBOATRA CINTRE SY TAONA MASKITA,4,mpan,
P0LICE,4,,
MIKARAMA MIASA AN'OLONA,4,karama,
MAMPIANATRA @ ECOLE PRIVEE,4,"mpi, mam",
CHAUFFEUR TUCTUC,4,,chauffeur
PORTEURS,4,,
"MIKAPA FARY,MANALA AHITRY",4,man,
MAMBOLY SY MIVAROTRA MAGAHAZO,4,"mam, miv, var, mboly",
MAMBOLY SY MIVAROTRA MAHOGO,4,"mam, miv, var, mboly",
MIVAROTRA TAVOANGY,4,"miv, var",
MPANABOATRA VOVO,4,mpan,
MPAKA ORITA,4,,
MIVAROTRA PIECE BICYCLETTE,4,"miv, var",
MIVAROTRA VOLAMENA,4,"miv, var",
MITOTO VARY SY KOBA,4,"var, vary",
MIAMBINA FAMBOLENA AKONDRO,4,famb,
FIOMIANA,4,,
FIOMPIANA OMBY,4,"mpi, omby",
LIVREUR AO AMIN BRINKS,4,,
MIVAROTRA BROKATERA,4,"miv, var",
FIDESALLE,4,,
ASA TSELIKA,4,,
PATRON OMBY,4,omby,
SECRETAIRE SJP,4,,secretaire
MPIKARAMA MANJAITRA RIDEAU,4,"mpi, man, karama",
CONSIGNATEUR SAMBO,4,,
MIVAROTRA MENAKA TAREHY,4,"miv, var",
PISCINISTE,4,,
MPIVAROTRA RONONO MANDENDEHA,4,"mpi, man, var",
MANAO SARAKA NTSAHA,4,man,
DEPANNEUR,4,,
MANOEUVRE MANAO TRANO,4,"man, trano, rano",
COMPANATEUR SPECIALISER,4,mpan,
MIVAROTRA PATTE,4,"miv, var",
MAMBOLY LOJY SY KATSAKA,4,"mam, katsaka, mboly",
MPIVAROTRA KOLITRA,4,"mpi, var",
MIKARAMA MANASA LAMBA SY MANATITRA PIANATRA,4,"man, lamba, karama",
MIKARAKARA ASA ATRANO,4,"trano, rano",
MANANGONA D MIVAROTRA VARY,4,"man, miv, var, vary",
MANJAITRA RIDEAU,4,man,
MIVIDY SY MIVAROTRA KATY,4,"miv, var",
NIJINJA VARY,4,"var, vary",
MIASA @CASH POINT,4,,
REPASSEUR,4,,
PAMPIANATRA,4,mpi,
SARAKA AN-TSAHA MIVELY VARY,4,"miv, var, vary",
MIVAROTRA FALAFA,4,"miv, var",
MPANAO SARAKATSAHY,4,mpan,
MAPANAO SARAKATSAHY,4,,
GUICHETIER PORT ANKIFY,4,,
NITARIKA OLONA,4,,
MPVAROTRA TRONDRO,4,var,
MAMBOLY KABARO SY TSAKO,4,"mam, mboly",
MIANTOKA VOKATRA,4,,
DOKER MITAONA SARIBAO,4,,
DOKER MITAONA CHARBON,4,,
MPANAPAKA BOZAKA,4,mpan,
inspecteure de police,4,,
MPANJAITRA SAKOSY,4,mpan,
MPIVAROTRA FITAOVANA FANAMBOARANA NIFY,4,"mpi, var",
MPIVAROTRA FRIPERIE MITETY TSENA,4,"mpi, var",
ASANTRANO,4,"trano, rano",
INGENIEUR EN BTP,4,,
SARAKANTSA,4,,
TRESORIER COMMUNE,4,,
MAMBOLY VARY MANGAHAZO KATSAKA TSARAMASO,4,"mam, man, var, vary, katsaka, mboly",
MAMAROTRA CAFE SY MOFO,4,"mam, mofo",
MIASA @CYBER,4,,
SECRETAIRE AO @TRESORS,4,,secretaire
MIASA AO @TRESORS,4,,
DIRECTEUR DU SOCIETE,4,,directeur
MIVAROTRA SAKAY PILOKELY,4,"miv, var",
DIRECTEUR GENERAL,4,,directeur
MPAMPIANATRA AMIM'NY EPP (FRAM),4,"mpi, mpam",
MARIN NY SOMAPECHE,4,,
MANAMPY NY RENINY MIVAROTRA VARY MASAKA,4,"man, miv, var, vary",
MATSAKA RANON OLONA,4,rano,
MIVAROTRA VARY SY LAOKA MASAKA MANDEHANDEHA,4,"man, miv, var, vary",
MPIVARONTENA,4,"mpi, var",
ASSISTANT SOCIAL,4,,assistant
MIVAROTRA VARY SY TSARAMASO,4,"miv, var, vary",
MPANAFO TRANO,4,"trano, rano, mpan",
MPIVAROTRA FITAOVANA MOMBA NY ELEKTRONIKA,4,"mpi, var",
MPIVAROTRA TONGOLO,4,"mpi, var",
MAMBOLY KAROTY,4,"mam, mboly",
MPANATITRA VOKATRA,4,mpan,
MPANAO FINITION AMIN'NY MPANDRAFITRA FANAKA,4,mpan,
MPANAMPY MPANAO TRANO,4,"trano, rano, mpan",
"MIOMPY KISOA, AKOHO",4,akoho,
"MAMBOLY OVY SY KATSAKA, VARY",4,"mam, var, vary, katsaka, mboly",
MANAO SY MIVAROTRA KAFE SY MOFO,4,"man, miv, var, mofo",
SECHOIRE(MANAMAINA IREO FIBRES SISAL),4,man,
CHAUFFEUR TRACTEUR(ORINASA),4,,chauffeur
MPIVAROTRA RAOKANDRO MALAGASY,4,"mpi, var",
MPAMPIANATRA AMIN'NY LYCEE PRIVEE,4,"mpi, mpam",
MANERA BIRIKY,4,man,
"MPAMBOLY VARY,BALAHAZO,KABARO",4,"var, vary, mboly, mpam",
"MAMBOLY VARY,BALAHAZO,BELE",4,"mam, var, vary, mboly",
DIRECTEUR ADJOINT,4,,directeur
MIVAROTRA LAMBA FRIPE,4,"miv, var, lamba",
MIAVA TANIMANGAHAZO,4,man,
MAKA ANKOHO AMINY OLONA DIA AMIDY,4,,
MAKA AKOHO AMINY OLONA DIA AMIDY AVY EO,4,akoho,
MIVAROTRA MOFO MANDEHA,4,"man, miv, var, mofo",
MIVAROTRA MOFO MANDREHA,4,"man, miv, var, mofo",
CHEF D'ARRONDISSEMENT ADMINISTRATIF,4,,chef
MANAO EPICERIE KELY,4,man,
VENDEUR AU CAINCELLEURIE,4,,vendeur
"MAMBOLY VARY,MANGAHAZO,VOANJO",4,"mam, man, var, vary, mboly",
MAMBOLY VARY;VOANJO,4,"mam, var, vary, mboly",
MIVAROTRA ANANA SY RAKETA,4,"miv, var",
MAKA SY MIVAROTRA CRABE,4,"miv, var",
MANAMPY MPIOMPY KISOA,4,"mpi, man",
GARDIEN TRANO AMIN'NY ALINA,4,"trano, rano",
MNDRARY TSIHY,4,,
MADOKO TRANO,4,"trano, rano",
CHAUFFEUR CYCLOPOUSSE,4,,chauffeur
MPANAMPY MANAMBOATRA BICYCLETTE,4,"man, mpan",
MAMBOATRA BISIKILETA,4,mam,
"NAMBOLY VARY,OVY,KATSAKA",4,"var, vary, katsaka, mboly",
MANIVANA VILAMENA,4,man,
SEFOM-POKONTANY,4,tany,
MIAVAROTRA VARY,4,"var, vary",
MAKA SY MIVAROTRA KITAY,4,"miv, var",
%PANDRY OMBY,4,omby,
MPIVAROTRA MANGA,4,"mpi, man, var",
CONDUCTEUR,4,,
MAMBOLY RAVIMBELE,4,"mam, mboly",
GERANT MAGASIN,4,,
MPAMBOATRY TRANO,4,"trano, rano, mpam",
MPANAMPY FIANAKAIANA MAMBOLY VARY,4,"mam, var, vary, mboly, mpan",
SARAKATSAHA MIASA MANGAHAZO,4,man,
MPANOFY GIROFLE,4,mpan,
MIASA @ CSBII PHARMACIEN,4,,
CHEF D USUNE JIRAMA,4,,chef
MPANAMBOATRA FIARA SIMBA,4,mpan,
NANA,4,,
MPAMBOLY VOANJO SY KATSAKA,4,"katsaka, mboly, mpam",
MÉCANICIEN DE VÉHICULES,4,,
TECHNICIEN D'ELEVAGE DE CREVETTE DE L'AQUALMA,4,,technicien
MPAMPIANATRA AMBARATONGA FOTOTRA,4,"mpi, mpam",
NITAONA TANY,4,tany,
KIBARO MANDAVAKA LAVAKA,4,man,
MPANENTANA ARAPAHASALAMANA,4,"man, entana, mpan",
MANAO FATAPERA TANIMANGA,4,man,
"MAMBOLY VARY, KATSAKA,OVY",4,"mam, var, vary, katsaka, mboly",
MIVAROTRA LOKO SAVOKA,4,"miv, var",
MPIVAROTRA VOANKAZO EN GROS,4,"mpi, var",
MAMBOLY OVY MEVA,4,"mam, mboly",
MIASA AMINY OLONA(MPANAMPY ANTRANO),4,"trano, rano, mpan",
SURVEILLANT DU COLLEGE PRIVE CHAN KOC FAN,4,,
"MIVAROTRA ""CAMERA DE SURVEILLANCE, ALARME, PANNEAU",4,"miv, var",
MIASA AMIN'NY OMBY,4,omby,
NAMBOLY TONGOLO GASY,4,mboly,
CHEF SECTEUR,4,,chef
MIVAROTRA ANIMASAKA,4,"miv, var",
VERIFICATEUR,4,,
MPIKASO SY MIVAROTRA,4,"mpi, miv, var",
TSARANKATSAHA,4,,
MAMBOLY TRAKA,4,"mam, mboly",
CFAUFFEUR,4,,
MPANANPY ATRANO CLASSE MANDRY,4,"man, trano, rano, mpan",
MPIASA ISANANDRO,4,mpi,
GESTIONAIRE,4,,
MAMPIANATRA AMIN NY CEG,4,"mpi, mam",
SOUDEUR METALLIQUE,4,,
MIVAROTRA ENTAMADINIKA ANATY EPICERIE,4,"miv, var",
ANIMATEUR ORN,4,,
DOCKER AMIN'NY MPIVAROTRA FILAO MAINA AMBONGADINY,4,"mpi, var",
"MPAMBOLY FELI-BATATA, FELI-BE, VARY",4,"var, vary, mboly, mpam",
"MPAMBOLY FELI-BATATA, FELI-BE,VARY",4,"var, vary, mboly, mpam",
MPIANTOKA OMBY,4,"mpi, omby",
MIOMPY AKOHO SY GISA,4,akoho,
CASH POINT MOBIL MONEY,4,,
VENDEURS DES PIECECES AUTO MOTO,4,,vendeur
MIAZA,4,,
SOFERA AMIN'NY GOSSISTE,4,,
MAJAITRA,4,,
MIVAROTRA BALLE FRIPERIE,4,"miv, var",
MIVAROTRA VONINKAZO,4,"miv, var",
COURTIER,4,,
MIVARITRA PATSA ENY ANTSENA,4,"miv, var",
CAUFFEUR TRICYCLE,4,,
MAMPIANATRA HISTO-GEO AMIN'NY SECONDAIRE,4,"mpi, mam",
MAMPIANATRA FRANCAIS AMIN'NY ECOLE TECHNIQUE,4,"mpi, mam",
MACHINISTE ZONE FRANCHE,4,,
AUDITEUR INTERNE,4,,
MPAMBOLY AO AMIN'NY LECOFRUIT,4,"mboly, mpam",
MIVAROTRA PPN SY ZAVAPISOTRO MISY ALCOOL,4,"miv, var",
MPIVAROTRA @ EPIBAR,4,"mpi, var",
FAMBOLENA OVY,4,famb,
MANAMPY MANAO AIDE CUISINIER,4,man,
TRAITEUR,4,,
MPIVAROTRA FANAFODY MANDEHANDEHA,4,"mpi, man, var",
MaçOn,4,,maçon
MIVAROTRA CHIPS BANANE,4,"miv, var",
"MPAMBOLY BALAHAZO,TSOHA,tsako",4,"mboly, mpam",
MIVAROTRA HAZANDRANO MAINA,4,"miv, var, rano",
MIOPY OSY,4,,
MIKARAMA MANAO CALENDRIER,4,"man, karama",
MAKA SY MIVAROTRA VATO,4,"miv, var",
MAMETAKA PANNEAU SOLAIRE,4,mam,
MPANDRAFITRA TRANO SY FANAKA,4,"trano, rano, mpan",
"MANAO VADI-BAROTRA MANGA PAPAY, kida, tsoha",4,man,
MIVAR0-KENA,4,"miv, var",
MPIKAPO-BATO ANAOVANA GRAVILLON AMIN'OLOTSOTRA,4,mpi,
CAISSIERE AMINY GUICHET,4,,
MPAMBOLY HONKO AMIN'NY EDEN PROJECT,4,"mboly, mpam",
MPIAMBINA ALA AO AMIN'NY EDEN PROJECT,4,mpi,
CHAUFFEUR MPANAO LALANA,4,mpan,chauffeur
MIVAROTRA VOANDALANA EO AKAIKINY SEKOLY,4,"miv, var",
MIANTOKA FROMAGE,4,,
MPAMBOLY MANGAHAZO SY HARICOT VERT,4,"man, mboly, mpam",
MPANAO TOKA GASY SADY MIVAROTRA,4,"miv, var, mpan",
MIAVA TONGOLO SY CAROTTE,4,,
MAMPIANATRA AMIN'NY COLLEGE,4,"mpi, mam",
MANADIO DISPENSAIRE,4,man,
MANAO TRIAGE NA MICAH,4,man,
COMPTABLE DANS LE MINISTERE DE FINANCE ET ECONOMIQ,4,,comptable
MIVAROTRA PATTES GASY,4,"miv, var",
MPIVAROTRA KOJAKOJALAKOZIA,4,"mpi, var",
NISANGO-BARY,4,,
MAMBOLY CACAO SY VARY,4,"mam, var, vary, mboly",
MPANASA SY MIPASOKA LAMBA,4,"lamba, mpan",
MANAO GRAVAGE,4,man,
MAMBOLY SY MIVAROTRA LAVANILLE,4,"mam, miv, var, mboly",
MPAMBOLY VOATSOROKO,4,"mboly, mpam",
MPITATITRA OLONA,4,mpi,
NAMBOLY VOATABIA,4,mboly,
MITATITRA ENTANA MAKANY ANKAZOBE,4,entana,
MPANAMBOATRA SY MPIVAROTRA MOFO GASY SY KAFE,4,"mpi, var, mofo, mpan",
MAMBOLY SY MIVAROTRA FONTSY,4,"mam, miv, var, mboly",
ORGANISATION VARY TSINJO,4,"var, vary",
MPITSABO GASY,4,mpi,
MIVAROTRA SOANAMBO,4,"miv, var",
MPIVAROTRA MOFO MANGAHAZO,4,"mpi, man, var, mofo",
MAMPIANATRA 10em,4,"mpi, mam",
FANAOVANA SARAK'ATSAHA,4,,
TALEN'NY EPP,4,,
MANOEUVRE FORESTIER,4,man,
NETTOYEUR,4,,
MPAMBOLY VARY/VOANJO/KATSAKA/TSARAMASO,4,"var, vary, katsaka, mboly, mpam",
AGENT DESSINATEUR,4,,agent
TRESSEDES NATTES,4,,
MPIVAROTRA MANGAHAZO MASAKA,4,"mpi, man, var",
MANAMBOATRA BONBON VOANJO,4,man,
MAHANDRO SAKAFON' MPIANATRA PRES SCOLAIRE,4,mpi,
SECURITE VAVAHADY COPS,4,,
MPIASA MPIVIDY LAVANILA,4,mpi,
ANESTESISTE,4,,
MPITARIKA CYCLO POUSSE,4,mpi,
CHAUFFEUR TAXI BROUSSE REGIONAL,4,,chauffeur
MACHINISTE FANAMBOARANA BISCUIT,4,,
MPIVAROTRA MOFO BAOLINA,4,"mpi, var, mofo",
MIVAROTRA FIA LENA,4,"miv, var",
TRANSPORT POSY,4,,
KIBAROA MATSAKA RANO,4,rano,
MIVAROTRA KAFE RANONY,4,"miv, var, rano",
MIVAROTRA FOTSIMBARY ATSINJARANY,4,"miv, var",
COLLECTEUR DE PRODUITS LOCAUX,4,,
WEBMASTER,4,,
VIDéASTE,4,,
CONSULTANT AN'NY UNICEF,4,,
MPAMBOLY VARY SY TSARAMASO ARY MANGAHAZO,4,"man, var, vary, mboly, mpam",
TRESORIER,4,,
GARDIEN HOTEL,4,,
KIBAROA KETSA,4,,
MAMBOATRY SARIBAO,4,mam,
MIVAROTRA JUIS CITRON,4,"miv, var",
ASSISTANTE PRIMATURE,4,,assistant
0PERATEUR ECONOMIQUE,4,,
VAROTRA MANGA SY FIA,4,"man, var",
FANJONOANA,4,,
MITARIKA SARETY KELY,4,,
FAMBOLENA VARY SY KATRAKA,4,"var, famb, vary",
VOLY VARY SY LA VANILLE,4,"var, vary, voly",
JARDINER,4,,
GARDIEN SOCIETE SOAVANIO,4,,
MAHANDRO SAKAFO,4,,
TECHNICIEN DES TRAVAUX PUBLICS,4,,technicien
"MIVAROTRA VOAKAZO,VOMANGA,BALAHAZO",4,"man, miv, var",
MANJONO TRONDRON-DRANOMASINA,4,"man, rano",
