idHH_clean,salaire_mensuel,hhmilieu2,hhreg,q4a_02,score_individuel_epm
000000000706,0.0,1,61,Non,6.0
000000000706,0.0,1,61,Non,6.833333333333333
000000000706,0.0,1,61,Non,7.666666666666666
000000000707,0.0,1,61,Oui,6.0
000000000707,0.0,1,61,Non,6.833333333333333
000000000707,0.0,1,61,Non,7.666666666666666
000000000707,0.0,1,61,Non,8.5
000000000707,0.0,1,61,Non,9.333333333333332
000000000708,0.0,1,61,Oui,6.0
000000000708,0.0,1,61,Non,6.833333333333333
000000000708,0.0,1,61,Non,7.666666666666666
000000000709,0.0,1,61,Non,6.833333333333333
000000000710,0.0,1,61,Non,8.5
000000000710,0.0,1,61,Non,9.333333333333332
000000000710,0.0,1,61,Non,10.166666666666666
000000000711,0.0,1,61,Oui,6.833333333333333
000000000711,0.0,1,61,Non,7.666666666666666
000000000711,0.0,1,61,Non,8.5
000000000711,0.0,1,61,Non,9.333333333333332
000000000712,0.0,1,61,Oui,6.0
000000000712,0.0,1,61,Non,6.833333333333333
000000000712,0.0,1,61,Non,7.666666666666666
000000000712,0.0,1,61,Non,8.5
000000000801,0.0,2,54,Oui,21.0
000000000801,0.0,2,54,Non,21.833333333333332
000000000801,0.0,2,54,Non,22.666666666666664
000000000801,0.0,2,54,Non,23.5
000000000801,0.0,2,54,Non,24.333333333333332
000000000803,0.0,2,54,Oui,21.0
000000000803,0.0,2,54,Non,21.833333333333332
000000000803,0.0,2,54,Non,22.666666666666664
000000000803,0.0,2,54,Non,23.5
000000000803,0.0,2,54,Non,24.333333333333332
000000000804,0.0,2,54,Oui,21.0
000000000804,0.0,2,54,Non,21.833333333333332
000000000804,0.0,2,54,Non,22.666666666666664
000000000804,0.0,2,54,Non,23.5
000000000804,0.0,2,54,Non,24.333333333333332
000000000804,0.0,2,54,Non,25.166666666666664
000000000805,0.0,2,54,Oui,21.0
000000000806,0.0,2,54,Oui,21.0
000000000807,0.0,2,54,Non,21.833333333333332
000000000807,0.0,2,54,Non,22.666666666666664
000000000808,0.0,2,54,Oui,21.0
000000000808,0.0,2,54,Oui,21.833333333333332
000000000808,0.0,2,54,Non,22.666666666666664
000000000809,0.0,2,54,Oui,21.0
000000000809,0.0,2,54,Non,21.833333333333332
000000000810,0.0,2,54,Oui,21.0
000000000810,0.0,2,54,Non,21.833333333333332
000000000810,0.0,2,54,Non,22.666666666666664
000000000810,0.0,2,54,Non,23.5
000000000811,0.0,2,54,Oui,21.0
000000000812,0.0,2,54,Oui,21.833333333333332
000000000812,0.0,2,54,Non,22.666666666666664
000000000901,0.0,2,41,Oui,21.0
000000000901,0.0,2,41,Non,21.833333333333332
000000000901,0.0,2,41,Non,22.666666666666664
000000000901,0.0,2,41,Non,23.5
000000000902,0.0,2,41,Oui,21.0
000000000902,0.0,2,41,Oui,21.833333333333332
000000000902,0.0,2,41,Non,22.666666666666664
000000000902,0.0,2,41,Non,23.5
000000000902,0.0,2,41,Non,24.333333333333332
000000000903,0.0,2,41,Oui,21.0
000000000903,0.0,2,41,Oui,21.833333333333332
000000000903,0.0,2,41,Non,22.666666666666664
000000000903,0.0,2,41,Non,23.5
000000000903,0.0,2,41,Non,24.333333333333332
000000000904,0.0,2,41,Oui,21.0
000000000904,0.0,2,41,Non,21.833333333333332
000000000905,0.0,2,41,Oui,21.0
000000000905,0.0,2,41,Oui,21.833333333333332
000000000905,0.0,2,41,Oui,22.666666666666664
000000000905,0.0,2,41,Oui,23.5
000000000905,0.0,2,41,Non,24.333333333333332
000000000905,0.0,2,41,Non,25.166666666666664
000000000906,0.0,2,41,Oui,21.0
000000000906,0.0,2,41,Oui,21.833333333333332
000000000906,0.0,2,41,Non,22.666666666666664
000000000906,0.0,2,41,Non,23.5
000000000906,0.0,2,41,Non,24.333333333333332
000000000907,0.0,2,41,Oui,21.0
000000000907,0.0,2,41,Non,21.833333333333332
000000000907,0.0,2,41,Non,22.666666666666664
000000000907,0.0,2,41,Non,23.5
000000000908,0.0,2,41,Oui,21.0
